t,Wx,Wy,Wz,Wt
22.873268,1.296,0.14,0.057,1.305
22.876715,1.283,0.119,0.058,1.29
22.877124,1.272,0.091,0.057,1.276
22.879368,1.256,0.06,0.056,1.259
22.881211,1.246,0.042,0.055,1.248
22.884667,1.228,0.008,0.051,1.23
22.885137,1.206,-0.025,0.046,1.207
22.888024,1.188,-0.059,0.045,1.19
22.891611,1.166,-0.092,0.043,1.171
22.894768,1.148,-0.124,0.042,1.155
22.89725,1.092,-0.198,0.047,1.11
22.900773,1.082,-0.204,0.049,1.103
22.901152,1.065,-0.223,0.051,1.09
22.904001,1.045,-0.239,0.054,1.073
22.905162,1.029,-0.248,0.059,1.06
22.909029,1.008,-0.256,0.062,1.042
22.90914,0.99,-0.255,0.065,1.024
22.91202,0.973,-0.252,0.07,1.008
22.913187,0.954,-0.247,0.073,0.988
22.916945,0.935,-0.238,0.078,0.968
