t,Ax,Ay,Az,aT
4.120547,1.2829,-1.2796,1.7074,2.49
4.128787,1.3755,-1.294,1.5774,2.46
4.144445,1.3295,-1.4207,1.1124,2.24
4.153252,1.2681,-1.5054,0.8057,2.13
4.162172,1.1132,-1.6423,0.4074,2.03
4.170761,0.9139,-1.7086,0.0935,1.94
4.179303,0.6951,-1.7072,-0.1989,1.85
4.192148,0.6417,-1.584,-0.5849,1.81
4.199778,0.7875,-1.4938,-0.7098,1.83
4.207955,0.8617,-1.2895,-0.7921,1.74
4.22404,0.8841,-0.7158,-0.7474,1.36
4.232587,0.6889,-0.4206,-0.8246,1.15
4.240467,0.2734,-0.1931,-1.0038,1.06
4.248047,-0.159,0.1168,-1.1581,1.17
4.263714,-0.8561,0.4455,-1.4547,1.75
4.272065,-1.0236,0.3718,-1.5907,1.93
4.280608,-1.155,0.1683,-1.6696,2.04
4.288137,-1.2039,-0.0008,-1.7048,2.09
4.303464,-0.9952,-0.2738,-1.5172,1.83
4.314943,-0.8581,-0.4012,-1.3242,1.63
4.320745,-0.8155,-0.4857,-1.1681,1.51
4.328461,-0.6896,-0.527,-1.0356,1.35
4.343816,-0.1566,-0.4887,-1.1286,1.24
4.357302,-0.0796,-0.5598,-1.3451,1.46
4.36339,-0.0187,-0.6986,-1.5246,1.68
4.367899,0.0275,-0.8936,-1.7753,1.99
4.38435,0.2065,-1.1982,-2.1891,2.5
4.391955,0.2989,-1.3391,-2.2729,2.65
4.400409,0.3493,-1.4811,-2.2667,2.73
4.415508,0.3012,-1.5211,-2.1109,2.62
4.423986,0.2327,-1.4534,-1.9485,2.44
4.43202,0.1299,-1.4116,-1.8041,2.29
4.44028,0.0005,-1.3625,-1.6338,2.13
4.448077,0.0002,-1.3003,-1.4949,1.98
4.46435,0.003,-1.0984,-1.2587,1.67
4.471991,-0.1107,-1.0891,-1.1272,1.57
4.480455,-0.2883,-1.111,-1.0335,1.54
4.488068,-0.5528,-1.1915,-0.9451,1.62
4.504117,-1.1285,-1.582,-0.8658,2.13
4.518152,-1.3383,-1.8461,-0.797,2.42
4.519526,-1.5816,-2.0939,-0.7349,2.73
4.529631,-1.7777,-2.2792,-0.6013,2.95
